编号,训练文件ID,点数,状态,点面P95,0.15内比例,失败门槛,问题部位,修改意见
01,1667,488,REVIEW REQUIRED,0.05993609118189725,0.9979508196721312,outline,,
02,2811,796,REVIEW REQUIRED,0.17098865950678982,0.9334170854271356,all_points; outline,,
03,2879,1938,REVIEW REQUIRED,0.08628908808915073,0.9824561403508771,outline,,
04,1936,1991,REVIEW REQUIRED,0.08579181824494013,0.9773982923154194,topology,,
05,2623,2807,REVIEW REQUIRED,0.2348050321579158,0.8785179907374421,all_points; each_observed_facade; topology,,
06,944,3110,REVIEW REQUIRED,0.10833587658751594,0.9655948553054663,each_roof_patch; topology,,
07,1321,4032,REVIEW REQUIRED,0.12883949455821112,0.9578373015873016,outline; topology,,
08,144,4267,REVIEW REQUIRED,0.5760959243432261,0.8310288258729787,all_points; each_roof_patch; each_observed_facade; topology,,
09,2078,4802,REVIEW REQUIRED,0.18663093171238826,0.9446064139941691,all_points; each_observed_facade,,
10,480,5847,REVIEW REQUIRED,0.36579156046206884,0.8614674191893279,all_points; outline; topology,,
11,945,6439,REVIEW REQUIRED,0.5063816190202316,0.8968783972666563,all_points; each_observed_facade; topology,,
12,1102,6944,PROXY PASS,0.12527573635266157,0.971918202764977,,,
13,1751,7302,REVIEW REQUIRED,0.30379480370490225,0.9142700629964393,all_points; topology,,
14,1048,8295,REVIEW REQUIRED,0.17929003803389879,0.8963230861965039,all_points; each_roof_patch,,
15,46,9012,REVIEW REQUIRED,0.20690138797007476,0.9375277407900577,all_points; each_roof_patch; topology,,
16,1985,9996,REVIEW REQUIRED,0.45797331134935737,0.8820528211284514,all_points; each_observed_facade; outline,,
17,1710,11982,REVIEW REQUIRED,1.3912037054199422,0.6506426306125855,all_points; each_roof_patch; each_observed_facade; outline; topology,,
18,2754,17737,REVIEW REQUIRED,0.12013505214478262,0.9662287872808254,each_roof_patch; each_observed_facade; topology,,
19,1725,29466,REVIEW REQUIRED,1.097996039975539,0.7178442951197991,all_points; each_roof_patch; each_observed_facade; outline; topology,,
20,1572,57978,REVIEW REQUIRED,0.09257098386606082,0.9667805029493945,each_observed_facade; topology,,
